Agency,NameCity,depotGglCountryAscii,depotGglAddressAscii,depotGglLat,depotGglLong,Order,disasterGglCountryAscii,disasterGglAddressAscii,disasterGglLat,disasterGglLong,Distance_km,DrivingTime_h
FEMA,Washington D.C.,United States,"Washington D.C. , United States",38.9071923,-77.0368707,3,"Olympia , United States",United States,47.0378741,-122.9006951,4509.0,41.0
FEMA,Washington D.C.,United States,"Washington D.C. , United States",38.9071923,-77.0368707,3,"Salem , United States",United States,42.51954,-70.8967155,733.0,7.0
FEMA,Washington D.C.,United States,"Washington D.C. , United States",38.9071923,-77.0368707,3,"Austin , United States",United States,30.267153,-97.7430608,2450.0,22.0
FEMA,Washington D.C.,United States,"Washington D.C. , United States",38.9071923,-77.0368707,3,"Helena , United States",United States,46.5883707,-112.0245054,3447.0,32.0
FEMA,Washington D.C.,United States,"Washington D.C. , United States",38.9071923,-77.0368707,3,"Montgomery , United States",United States,32.3668052,-86.2999689,1297.0,11.0
FEMA,Washington D.C.,United States,"Washington D.C. , United States",38.9071923,-77.0368707,3,"Phoenix , United States",United States,33.4483771,-112.0740373,3701.0,33.0
FEMA,Washington D.C.,United States,"Washington D.C. , United States",38.9071923,-77.0368707,3,"Tallahassee , United States",United States,30.4382559,-84.2807329,1405.0,12.0
FEMA,Washington D.C.,United States,"Washington D.C. , United States",38.9071923,-77.0368707,3,"Raleigh , United States",United States,35.7795897,-78.6381787,457.0,4.0
FEMA,Washington D.C.,United States,"Washington D.C. , United States",38.9071923,-77.0368707,3,"Springfield , United States",United States,42.1014831,-72.589811,585.0,5.0
FEMA,Washington D.C.,United States,"Washington D.C. , United States",38.9071923,-77.0368707,3,"Charleston , United States",United States,32.7764749,-79.9310512,866.0,8.0
FEMA,Washington D.C.,United States,"Washington D.C. , United States",38.9071923,-77.0368707,3,"Bismarck , United States",United States,46.8083268,-100.7837392,2465.0,22.0
FEMA,Washington D.C.,United States,"Washington D.C. , United States",38.9071923,-77.0368707,3,"Jefferson City , United States",United States,38.5767017,-92.1735164,1518.0,14.0
